2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712588,"a":1421458418,"s":"ETHUSDT","p":"2016.91","q":"3.445","f":3361695180,"l":3361695189,"T":1700053712586,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712592,"a":1421458421,"s":"ETHUSDT","p":"2016.88","q":"3.113","f":3361695194,"l":3361695198,"T":1700053712589,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712592,"a":1421458422,"s":"ETHUSDT","p":"2016.86","q":"3.759","f":3361695199,"l":3361695200,"T":1700053712589,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712611,"a":1916835827,"s":"BTCUSDT","p":"36179.50","q":"1.117","f":4291587394,"l":4291587397,"T":1700053712588,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712592,"a":1421458423,"s":"ETHUSDT","p":"2016.85","q":"0.137","f":3361695201,"l":3361695202,"T":1700053712589,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712611,"a":1916835828,"s":"BTCUSDT","p":"36179.40","q":"0.003","f":4291587398,"l":4291587398,"T":1700053712608,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712594,"a":1421458424,"s":"ETHUSDT","p":"2016.84","q":"0.015","f":3361695203,"l":3361695203,"T":1700053712589,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712611,"a":1916835834,"s":"BTCUSDT","p":"36178.40","q":"0.054","f":4291587406,"l":4291587410,"T":1700053712608,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712625,"a":1421458426,"s":"ETHUSDT","p":"2016.80","q":"2.494","f":3361695206,"l":3361695207,"T":1700053712592,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712611,"a":1916835835,"s":"BTCUSDT","p":"36178.20","q":"0.287","f":4291587411,"l":4291587411,"T":1700053712608,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712625,"a":1421458427,"s":"ETHUSDT","p":"2016.78","q":"0.277","f":3361695208,"l":3361695210,"T":1700053712623,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053712777,"a":1421458429,"s":"ETHUSDT","p":"2016.72","q":"0.825","f":3361695214,"l":3361695216,"T":1700053712623,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713026,"a":1916835872,"s":"BTCUSDT","p":"36176.20","q":"0.003","f":4291587518,"l":4291587518,"T":1700053712980,"m":false}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713026,"a":1421458430,"s":"ETHUSDT","p":"2016.71","q":"0.179","f":3361695217,"l":3361695218,"T":1700053712958,"m":false}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713026,"a":1421458431,"s":"ETHUSDT","p":"2016.70","q":"3.128","f":3361695219,"l":3361695230,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713026,"a":1421458432,"s":"ETHUSDT","p":"2016.69","q":"0.035","f":3361695231,"l":3361695233,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713026,"a":1421458433,"s":"ETHUSDT","p":"2016.68","q":"0.285","f":3361695234,"l":3361695235,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713026,"a":1421458434,"s":"ETHUSDT","p":"2016.67","q":"1.600","f":3361695236,"l":3361695236,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713026,"a":1421458435,"s":"ETHUSDT","p":"2016.66","q":"0.704","f":3361695237,"l":3361695240,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713026,"a":1421458436,"s":"ETHUSDT","p":"2016.64","q":"0.015","f":3361695241,"l":3361695241,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713026,"a":1421458437,"s":"ETHUSDT","p":"2016.63","q":"3.843","f":3361695242,"l":3361695243,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713026,"a":1421458438,"s":"ETHUSDT","p":"2016.62","q":"2.359","f":3361695244,"l":3361695244,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713027,"a":1421458439,"s":"ETHUSDT","p":"2016.71","q":"0.743","f":3361695245,"l":3361695245,"T":1700053713024,"m":false}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713027,"a":1421458440,"s":"ETHUSDT","p":"2016.62","q":"2.600","f":3361695246,"l":3361695247,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713027,"a":1421458441,"s":"ETHUSDT","p":"2016.61","q":"0.024","f":3361695248,"l":3361695248,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713027,"a":1421458442,"s":"ETHUSDT","p":"2016.60","q":"7.453","f":3361695249,"l":3361695254,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713027,"a":1421458443,"s":"ETHUSDT","p":"2016.59","q":"0.015","f":3361695255,"l":3361695255,"T":1700053713024,"m":true}
2023-11-15_13-08-33-+0000 {"e":"aggTrade","E":1700053713027,"a":1421458444,"s":"ETHUSDT","p":"2016.58","q":"0.011","f":3361695256,"l":3361695256,"T":1700053713024,"m":true}
2023-11-15_13-08-34-+0000 {"e":"aggTrade","E":1700053713178,"a":1421458445,"s":"ETHUSDT","p":"2016.57","q":"0.405","f":3361695257,"l":3361695257,"T":1700053713024,"m":true}
2023-11-15_13-08-34-+0000 {"e":"aggTrade","E":1700053713282,"a":1421458446,"s":"ETHUSDT","p":"2016.57","q":"0.752","f":3361695258,"l":3361695258,"T":1700053713233,"m":true}
2023-11-15_13-08-34-+0000 {"e":"aggTrade","E":1700053713433,"a":1421458447,"s":"ETHUSDT","p":"2016.58","q":"0.039","f":3361695259,"l":3361695259,"T":1700053713280,"m":false}
