2023-11-07 00:13:33,079 - INFO - {'e': '24hrTicker', 'E': 1699296213015, 's': 'BTCUSDT', 'p': '-124.22000000', 'P': '-0.355', 'w': '34996.97284134', 'x': '35030.07000000', 'c': '34905.85000000', 'Q': '0.00481000', 'b': '34905.85000000', 'B': '3.06486000', 'a': '34905.86000000', 'A': '0.54686000', 'o': '35030.07000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25497.06597000', 'q': '892320125.28585620', 'O': 1699209813015, 'C': 1699296213015, 'F': 3269483467, 'L': 3270573375, 'n': 1089909}
2023-11-07 00:13:35,126 - INFO - {'e': '24hrTicker', 'E': 1699296215221, 's': 'BTCUSDT', 'p': '-119.55000000', 'P': '-0.341', 'w': '34996.97089405', 'x': '35025.39000000', 'c': '34905.85000000', 'Q': '0.05762000', 'b': '34905.85000000', 'B': '3.11782000', 'a': '34905.86000000', 'A': '0.82530000', 'o': '35025.40000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25495.77996000', 'q': '892275069.18116040', 'O': 1699209815220, 'C': 1699296215220, 'F': 3269483526, 'L': 3270573384, 'n': 1089859}
2023-11-07 00:13:35,126 - INFO - {'e': '24hrTicker', 'E': 1699296215221, 's': 'BTCUSDT', 'p': '-119.55000000', 'P': '-0.341', 'w': '34996.97089405', 'x': '35025.39000000', 'c': '34905.85000000', 'Q': '0.05762000', 'b': '34905.85000000', 'B': '3.11782000', 'a': '34905.86000000', 'A': '0.82530000', 'o': '35025.40000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25495.77996000', 'q': '892275069.18116040', 'O': 1699209815220, 'C': 1699296215220, 'F': 3269483526, 'L': 3270573384, 'n': 1089859}
2023-11-07 00:13:37,179 - INFO - {'e': '24hrTicker', 'E': 1699296216482, 's': 'BTCUSDT', 'p': '-119.55000000', 'P': '-0.341', 'w': '34996.97086624', 'x': '35025.40000000', 'c': '34905.85000000', 'Q': '0.00428000', 'b': '34905.85000000', 'B': '3.11336000', 'a': '34905.86000000', 'A': '0.82328000', 'o': '35025.40000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25495.78269000', 'q': '892275164.01388350', 'O': 1699209816482, 'C': 1699296216482, 'F': 3269483527, 'L': 3270573387, 'n': 1089861}
2023-11-07 00:13:37,179 - INFO - {'e': '24hrTicker', 'E': 1699296216482, 's': 'BTCUSDT', 'p': '-119.55000000', 'P': '-0.341', 'w': '34996.97086624', 'x': '35025.40000000', 'c': '34905.85000000', 'Q': '0.00428000', 'b': '34905.85000000', 'B': '3.11336000', 'a': '34905.86000000', 'A': '0.82328000', 'o': '35025.40000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25495.78269000', 'q': '892275164.01388350', 'O': 1699209816482, 'C': 1699296216482, 'F': 3269483527, 'L': 3270573387, 'n': 1089861}
2023-11-07 00:13:39,208 - INFO - {'e': '24hrTicker', 'E': 1699296219219, 's': 'BTCUSDT', 'p': '-110.94000000', 'P': '-0.317', 'w': '34996.96641291', 'x': '35016.80000000', 'c': '34905.85000000', 'Q': '0.00042000', 'b': '34905.85000000', 'B': '3.15899000', 'a': '34905.86000000', 'A': '0.77869000', 'o': '35016.79000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25490.47872000', 'q': '892089427.61282400', 'O': 1699209819218, 'C': 1699296219218, 'F': 3269483676, 'L': 3270573402, 'n': 1089727}
2023-11-07 00:13:39,208 - INFO - {'e': '24hrTicker', 'E': 1699296219219, 's': 'BTCUSDT', 'p': '-110.94000000', 'P': '-0.317', 'w': '34996.96641291', 'x': '35016.80000000', 'c': '34905.85000000', 'Q': '0.00042000', 'b': '34905.85000000', 'B': '3.15899000', 'a': '34905.86000000', 'A': '0.77869000', 'o': '35016.79000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25490.47872000', 'q': '892089427.61282400', 'O': 1699209819218, 'C': 1699296219218, 'F': 3269483676, 'L': 3270573402, 'n': 1089727}
2023-11-07 00:13:41,268 - INFO - {'e': '24hrTicker', 'E': 1699296221266, 's': 'BTCUSDT', 'p': '-110.94000000', 'P': '-0.317', 'w': '34996.96636159', 'x': '35016.80000000', 'c': '34905.86000000', 'Q': '0.00290000', 'b': '34905.85000000', 'B': '3.15275000', 'a': '34905.86000000', 'A': '0.77199000', 'o': '35016.80000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25490.47625000', 'q': '892089339.86212150', 'O': 1699209821266, 'C': 1699296221266, 'F': 3269483682, 'L': 3270573416, 'n': 1089735}
2023-11-07 00:13:41,268 - INFO - {'e': '24hrTicker', 'E': 1699296221266, 's': 'BTCUSDT', 'p': '-110.94000000', 'P': '-0.317', 'w': '34996.96636159', 'x': '35016.80000000', 'c': '34905.86000000', 'Q': '0.00290000', 'b': '34905.85000000', 'B': '3.15275000', 'a': '34905.86000000', 'A': '0.77199000', 'o': '35016.80000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25490.47625000', 'q': '892089339.86212150', 'O': 1699209821266, 'C': 1699296221266, 'F': 3269483682, 'L': 3270573416, 'n': 1089735}
2023-11-07 00:13:43,311 - INFO - {'e': '24hrTicker', 'E': 1699296223275, 's': 'BTCUSDT', 'p': '-110.94000000', 'P': '-0.317', 'w': '34996.96499007', 'x': '35016.80000000', 'c': '34905.86000000', 'Q': '0.00099000', 'b': '34905.85000000', 'B': '2.87305000', 'a': '34905.86000000', 'A': '0.76566000', 'o': '35016.80000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25490.77690000', 'q': '892099826.73886030', 'O': 1699209823274, 'C': 1699296223274, 'F': 3269483691, 'L': 3270573443, 'n': 1089753}
