2023-10-25 17:08:34,836 - INFO - {'e': 'aggTrade', 'E': 1698233915271, 's': 'BTCUSDT', 'a': 2738158972, 'p': '34287.35000000', 'q': '0.00267000', 'f': 3256541557, 'l': 3256541557, 'T': 1698233915271, 'm': True, 'M': True}
2023-10-25 17:08:34,838 - INFO - {'e': 'aggTrade', 'E': 1698233915271, 's': 'BTCUSDT', 'a': 2738158972, 'p': '34287.35000000', 'q': '0.00267000', 'f': 3256541557, 'l': 3256541557, 'T': 1698233915271, 'm': True, 'M': True}
2023-10-25 17:08:36,894 - INFO - {'e': 'aggTrade', 'E': 1698233917722, 's': 'BTCUSDT', 'a': 2738158977, 'p': '34287.36000000', 'q': '0.41766000', 'f': 3256541562, 'l': 3256541566, 'T': 1698233917721, 'm': False, 'M': True}
2023-10-25 17:08:36,894 - INFO - {'e': 'aggTrade', 'E': 1698233917722, 's': 'BTCUSDT', 'a': 2738158977, 'p': '34287.36000000', 'q': '0.41766000', 'f': 3256541562, 'l': 3256541566, 'T': 1698233917721, 'm': False, 'M': True}
2023-10-25 17:08:38,944 - INFO - {'e': 'aggTrade', 'E': 1698233919763, 's': 'ETHUSDT', 'a': 947962498, 'p': '1786.15000000', 'q': '0.49700000', 'f': 1216858099, 'l': 1216858099, 'T': 1698233919762, 'm': False, 'M': True}
2023-10-25 17:08:38,945 - INFO - {'e': 'aggTrade', 'E': 1698233919763, 's': 'ETHUSDT', 'a': 947962498, 'p': '1786.15000000', 'q': '0.49700000', 'f': 1216858099, 'l': 1216858099, 'T': 1698233919762, 'm': False, 'M': True}
2023-10-25 17:08:40,996 - INFO - {'e': 'aggTrade', 'E': 1698233921871, 's': 'ETHUSDT', 'a': 947962501, 'p': '1786.15000000', 'q': '0.49700000', 'f': 1216858102, 'l': 1216858102, 'T': 1698233921871, 'm': False, 'M': True}
2023-10-25 17:08:40,998 - INFO - {'e': 'aggTrade', 'E': 1698233921871, 's': 'ETHUSDT', 'a': 947962501, 'p': '1786.15000000', 'q': '0.49700000', 'f': 1216858102, 'l': 1216858102, 'T': 1698233921871, 'm': False, 'M': True}
2023-10-25 17:08:43,043 - INFO - {'e': 'aggTrade', 'E': 1698233923924, 's': 'DOGEUSDT', 'a': 389247567, 'p': '0.06590000', 'q': '156.00000000', 'f': 527287502, 'l': 527287502, 'T': 1698233923923, 'm': True, 'M': True}
2023-10-25 17:08:43,053 - INFO - {'e': 'aggTrade', 'E': 1698233923924, 's': 'DOGEUSDT', 'a': 389247567, 'p': '0.06590000', 'q': '156.00000000', 'f': 527287502, 'l': 527287502, 'T': 1698233923923, 'm': True, 'M': True}
2023-10-25 17:08:45,100 - INFO - {'e': 'aggTrade', 'E': 1698233925532, 's': 'TRXUSDT', 'a': 178839292, 'p': '0.09330000', 'q': '1595.90000000', 'f': 254718563, 'l': 254718563, 'T': 1698233925531, 'm': False, 'M': True}
2023-10-25 17:08:45,100 - INFO - {'e': 'aggTrade', 'E': 1698233925532, 's': 'TRXUSDT', 'a': 178839292, 'p': '0.09330000', 'q': '1595.90000000', 'f': 254718563, 'l': 254718563, 'T': 1698233925531, 'm': False, 'M': True}
2023-10-25 17:08:47,175 - INFO - {'e': 'aggTrade', 'E': 1698233928041, 's': 'DOGEUSDT', 'a': 389247572, 'p': '0.06589000', 'q': '400.00000000', 'f': 527287507, 'l': 527287507, 'T': 1698233928040, 'm': False, 'M': True}
2023-10-25 17:08:47,175 - INFO - {'e': 'aggTrade', 'E': 1698233928041, 's': 'DOGEUSDT', 'a': 389247572, 'p': '0.06589000', 'q': '400.00000000', 'f': 527287507, 'l': 527287507, 'T': 1698233928040, 'm': False, 'M': True}
2023-10-25 17:08:49,229 - INFO - {'e': 'aggTrade', 'E': 1698233930091, 's': 'BTCUSDT', 'a': 2738159112, 'p': '34274.82000000', 'q': '0.00759000', 'f': 3256541735, 'l': 3256541735, 'T': 1698233930091, 'm': False, 'M': True}
2023-10-25 17:08:49,231 - INFO - {'e': 'aggTrade', 'E': 1698233930091, 's': 'BTCUSDT', 'a': 2738159112, 'p': '34274.82000000', 'q': '0.00759000', 'f': 3256541735, 'l': 3256541735, 'T': 1698233930091, 'm': False, 'M': True}
2023-10-25 17:08:51,300 - INFO - {'e': 'aggTrade', 'E': 1698233932046, 's': 'BTCUSDT', 'a': 2738159119, 'p': '34274.81000000', 'q': '0.00291000', 'f': 3256541743, 'l': 3256541743, 'T': 1698233932046, 'm': True, 'M': True}
2023-10-25 17:08:51,300 - INFO - {'e': 'aggTrade', 'E': 1698233932046, 's': 'BTCUSDT', 'a': 2738159119, 'p': '34274.81000000', 'q': '0.00291000', 'f': 3256541743, 'l': 3256541743, 'T': 1698233932046, 'm': True, 'M': True}
2023-10-25 17:08:53,349 - INFO - {'e': 'aggTrade', 'E': 1698233933532, 's': 'ETHUSDT', 'a': 947962555, 'p': '1785.52000000', 'q': '0.02190000', 'f': 1216858173, 'l': 1216858173, 'T': 1698233933531, 'm': True, 'M': True}
2023-10-25 17:08:53,349 - INFO - {'e': 'aggTrade', 'E': 1698233933532, 's': 'ETHUSDT', 'a': 947962555, 'p': '1785.52000000', 'q': '0.02190000', 'f': 1216858173, 'l': 1216858173, 'T': 1698233933531, 'm': True, 'M': True}
2023-10-25 17:08:55,391 - INFO - {'e': 'aggTrade', 'E': 1698233936147, 's': 'DOTUSDT', 'a': 221887072, 'p': '4.21200000', 'q': '4.98000000', 'f': 323504165, 'l': 323504165, 'T': 1698233936146, 'm': True, 'M': True}
2023-10-25 17:08:55,391 - INFO - {'e': 'aggTrade', 'E': 1698233936147, 's': 'DOTUSDT', 'a': 221887072, 'p': '4.21200000', 'q': '4.98000000', 'f': 323504165, 'l': 323504165, 'T': 1698233936146, 'm': True, 'M': True}
2023-10-25 17:08:57,424 - INFO - {'e': 'aggTrade', 'E': 1698233938049, 's': 'BTCUSDT', 'a': 2738159138, 'p': '34274.81000000', 'q': '0.00041000', 'f': 3256541764, 'l': 3256541764, 'T': 1698233938049, 'm': True, 'M': True}
2023-10-25 17:08:57,424 - INFO - {'e': 'aggTrade', 'E': 1698233938049, 's': 'BTCUSDT', 'a': 2738159138, 'p': '34274.81000000', 'q': '0.00041000', 'f': 3256541764, 'l': 3256541764, 'T': 1698233938049, 'm': True, 'M': True}
